zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Toronto Zoo,Coluber constrictor,American racer,Steven,Male,2022-01-11,76,false
Edmonton Zoo,Ephippiorhynchus mycteria,Black-necked stork,Kelvin,Male,2022-10-26,39,false
Edmonton Zoo,Threskionis aethiopicus,Sacred ibis,Gardener,Male,2023-07-25,64,true
Edmonton Zoo,Climacteris melanura,"Creeper, black-tailed tree",Jarrod,Male,2023-01-04,39,false
Toronto Zoo,Ctenophorus ornatus,"Dragon, netted rock",Hasty,Male,2022-09-08,38,true
Washington Zoo,Platalea leucordia,European spoonbill,Maybelle,Female,2024-02-27,57,false
Toronto Zoo,Dromaeus novaehollandiae,Emu,Willy,Female,2023-12-07,50,false
Washington Zoo,Spheniscus magellanicus,"Penguin, magellanic",Albrecht,Male,2023-09-30,39,false
Washington Zoo,Microcebus murinus,"Lemur, grey mouse",Philippine,Female,2021-01-22,70,false
Toronto Zoo,Callorhinus ursinus,Northern fur seal,Windy,Female,2021-04-28,64,false
Washington Zoo,Sula dactylatra,"Booby, masked",Nessi,Female,2022-03-01,62,false
Vancouver Zoo,Connochaetus taurinus,Brindled gnu,Ikey,Male,2022-08-09,32,false
Vancouver Zoo,Columba palumbus,"Pigeon, wood",Carol-jean,Female,2020-12-20,18,true
Vancouver Zoo,Eudyptula minor,"Penguin, fairy",Van,Male,2024-01-11,58,true
Edmonton Zoo,Macropus rufogriseus,"Wallaby, red-necked",Kerwin,Male,2021-08-13,56,false
Edmonton Zoo,Rangifer tarandus,Caribou,Mal,Male,2022-08-29,49,true
Edmonton Zoo,Dasypus septemcincus,Seven-banded armadillo,Lorene,Female,2023-04-07,18,true
Toronto Zoo,Uraeginthus granatina,"Grenadier, common",Rosene,Female,2023-11-29,36,true
Edmonton Zoo,Bucorvus leadbeateri,"Hornbill, southern ground",Yancy,Male,2023-05-01,69,false
Edmonton Zoo,Helogale undulata,"Mongoose, eastern dwarf",Zahara,Female,2022-08-28,33,true
Edmonton Zoo,Junonia genoveua,Genoveva,Vyky,Female,2023-06-04,53,false
Edmonton Zoo,Procyon lotor,"Raccoon, common",Joann,Female,2021-07-13,76,true
Edmonton Zoo,Cygnus buccinator,Trumpeter swan,Corbin,Male,2021-02-22,48,false
Washington Zoo,Spilogale gracilis,Western spotted skunk,Terrance,Male,2021-05-10,19,true
Washington Zoo,Eumetopias jubatus,Steller sea lion,Myrwyn,Male,2022-01-12,23,false
Edmonton Zoo,Cebus apella,"Capuchin, brown",Kippar,Male,2023-11-30,68,false
Edmonton Zoo,Meles meles,"Badger, eurasian",Benedict,Male,2021-05-03,73,true
Washington Zoo,Uraeginthus angolensis,Blue waxbill,Cosetta,Female,2021-05-08,27,true
Washington Zoo,Geococcyx californianus,Greater roadrunner,Malcolm,Male,2022-03-29,19,true
Washington Zoo,Francolinus leucoscepus,Yellow-necked spurfowl,Teodoro,Male,2023-05-08,35,false
Vancouver Zoo,Tockus erythrorhyncus,Red-billed hornbill,Adria,Female,2022-04-04,62,false
Washington Zoo,Ovibos moschatus,Musk ox,Brita,Female,2023-06-24,47,false
Vancouver Zoo,Cynomys ludovicianus,"Dog, black-tailed prairie",Gearalt,Male,2024-01-17,30,false
Edmonton Zoo,Ardea golieth,Giant heron,Janka,Female,2021-04-27,26,false
Vancouver Zoo,Ctenophorus ornatus,Ornate rock dragon,Haven,Male,2023-01-21,30,false
Vancouver Zoo,Naja haje,"Viper, egyptian",Albertina,Female,2021-10-24,72,true
Vancouver Zoo,Eumetopias jubatus,Steller sea lion,Angela,Female,2022-04-27,39,true
Toronto Zoo,Aegypius occipitalis,White-headed vulture,Abelard,Male,2022-02-18,55,false
Edmonton Zoo,Cebus albifrons,White-fronted capuchin,Bernadine,Female,2021-05-02,39,true
Toronto Zoo,Odocoileus hemionus,Black-tailed deer,Ferd,Male,2022-10-02,61,false
Vancouver Zoo,Chlidonias leucopterus,"Tern, white-winged",Hallsy,Male,2022-09-04,57,false
Toronto Zoo,Canis aureus,Golden jackal,Winifred,Female,2023-06-30,42,true
Washington Zoo,Anastomus oscitans,"Openbill, asian",Marrissa,Female,2022-03-31,18,false
Vancouver Zoo,Eolophus roseicapillus,Galah,Ivor,Male,2022-08-27,52,false
Edmonton Zoo,Phasianus colchicus,Ring-necked pheasant,Rhody,Female,2022-12-26,75,true
Washington Zoo,Nannopterum harrisi,Flightless cormorant,Hyatt,Male,2021-06-27,69,true
Edmonton Zoo,Manouria emys,Burmese black mountain tortoise,Anatol,Male,2023-03-26,44,false
Toronto Zoo,Tamiasciurus hudsonicus,"Squirrel, red",Boniface,Male,2022-11-28,68,false
Washington Zoo,Grus antigone,Sarus crane,Chrysler,Female,2023-10-08,58,false
Vancouver Zoo,Tachybaptus ruficollis,Dabchick,De witt,Male,2020-12-27,58,false
Edmonton Zoo,Choloepus hoffmani,Two-toed tree sloth,Kincaid,Male,2022-03-04,58,false
Edmonton Zoo,Hydrochoerus hydrochaeris,Capybara,Enrique,Male,2022-05-01,54,false
Toronto Zoo,Macaca nemestrina,Pig-tailed macaque,Clary,Female,2023-07-27,26,true
Vancouver Zoo,Threskionis aethiopicus,Sacred ibis,Willem,Male,2022-06-09,72,true
Edmonton Zoo,Heloderma horridum,"Lizard, mexican beaded",Evangelin,Female,2021-11-02,49,false
Toronto Zoo,Sauromalus obesus,Chuckwalla,Cahra,Female,2021-10-22,76,true
Toronto Zoo,Sciurus niger,"Squirrel, eastern fox",Melisent,Female,2020-12-22,67,false
Vancouver Zoo,Cracticus nigroagularis,Pied butcher bird,Terrance,Male,2022-02-09,38,false
Toronto Zoo,Hyaena brunnea,Brown hyena,Alica,Female,2021-06-19,74,true
Edmonton Zoo,Varanus sp.,Ground monitor (unidentified),Townsend,Male,2021-08-24,77,true
Washington Zoo,Anser anser,Greylag goose,Rochester,Male,2022-07-05,59,true
Washington Zoo,Macropus robustus,"Wallaby, euro",Stu,Male,2023-01-26,49,true
Vancouver Zoo,Vanellus sp.,Lapwing (unidentified),Erie,Male,2021-04-11,59,false
Toronto Zoo,Leipoa ocellata,Malleefowl,Layton,Male,2023-06-12,21,true
Washington Zoo,Microcebus murinus,"Lemur, lesser mouse",Roberto,Male,2023-07-14,19,true
Toronto Zoo,Antilope cervicapra,Blackbuck,Irving,Male,2022-04-12,70,false
Edmonton Zoo,Paradoxurus hermaphroditus,"Cat, toddy",Dedra,Female,2021-03-09,43,true
Edmonton Zoo,Bugeranus caruncalatus,Wattled crane,Frankie,Male,2021-02-21,36,false
Toronto Zoo,Mazama gouazoubira,Savannah deer,Arv,Male,2021-07-20,61,true
Toronto Zoo,Larus dominicanus,Southern black-backed gull,Madlen,Female,2023-06-02,78,false
Toronto Zoo,Speotyte cuniculata,"Owl, burrowing",Anderson,Male,2022-09-22,63,false
Toronto Zoo,Columba palumbus,"Dove, ring",Hayden,Male,2021-12-29,53,false
Vancouver Zoo,Vulpes chama,"Fox, cape",Royal,Male,2024-04-03,45,false
Washington Zoo,unavailable,"Gull, herring",Andy,Female,2024-02-03,21,false
Washington Zoo,Psittacula krameri,Rose-ringed parakeet,Reagan,Male,2021-02-05,58,true
Vancouver Zoo,Phalacrocorax niger,"Cormorant, little",Estevan,Male,2023-02-14,30,true
Toronto Zoo,Carduelis pinus,"Siskin, pine",Kenneth,Male,2023-08-16,54,true
Washington Zoo,Ephippiorhynchus mycteria,"Stork, jabiru",Sholom,Male,2022-09-23,23,true
Edmonton Zoo,Hyaena brunnea,Brown hyena,Clement,Male,2022-03-23,47,false
Toronto Zoo,Tockus erythrorhyncus,Red-billed hornbill,Constantia,Female,2022-04-18,58,false
Washington Zoo,Hystrix cristata,Crested porcupine,Bjorn,Male,2022-07-14,67,true
Washington Zoo,Ploceus rubiginosus,Chestnut weaver,Gates,Female,2021-02-03,35,false
Vancouver Zoo,Vanellus chilensis,"Lapwing, southern",Julissa,Female,2021-02-06,56,true
Toronto Zoo,Stercorarius longicausus,"Jaeger, long-tailed",Langsdon,Male,2020-12-21,78,false
Vancouver Zoo,Haliaetus leucogaster,"Eagle, white-bellied sea",Vern,Male,2023-10-16,34,false
Vancouver Zoo,Uraeginthus angolensis,Blue waxbill,Coralyn,Female,2022-11-23,52,false
Washington Zoo,Pseudocheirus peregrinus,Common ringtail,Herrick,Male,2020-12-25,60,false
Washington Zoo,Phoenicopterus ruber,Roseat flamingo,Kara,Female,2024-02-08,51,true
Toronto Zoo,Ephippiorhynchus mycteria,Jabiru stork,Rhody,Female,2022-04-02,40,true
Edmonton Zoo,Nycticorax nycticorax,Black-crowned night heron,Abbye,Female,2021-09-03,68,true
Washington Zoo,Gazella granti,Grant's gazelle,Truda,Female,2024-01-16,42,true
Washington Zoo,Morelia spilotes variegata,"Snake, carpet",Jasun,Male,2021-07-02,74,true
Washington Zoo,Cordylus giganteus,Giant girdled lizard,Mervin,Male,2022-06-01,45,false
Washington Zoo,Castor fiber,"Beaver, eurasian",Brennan,Male,2022-10-30,31,false
Vancouver Zoo,Neotoma sp.,Woodrat (unidentified),Nadeen,Female,2021-04-13,50,false
Vancouver Zoo,Eumetopias jubatus,Steller sea lion,Terra,Female,2023-08-10,67,false
Toronto Zoo,Trichoglossus chlorolepidotus,Scaly-breasted lorikeet,Chlo,Female,2024-02-03,36,true
Toronto Zoo,Cyrtodactylus louisiadensis,Ring-tailed gecko,Shara,Female,2022-05-09,73,false
Washington Zoo,Pseudocheirus peregrinus,"Ringtail, common",Elli,Female,2022-06-01,38,true
Toronto Zoo,Canis dingo,Dingo,Deloris,Female,2023-08-07,67,false
Edmonton Zoo,Uraeginthus angolensis,Blue-breasted cordon bleu,Farlee,Male,2022-10-01,59,true
Vancouver Zoo,Centrocercus urophasianus,Sage grouse,Jorrie,Female,2021-03-06,22,true
Toronto Zoo,Egretta thula,Snowy egret,Rooney,Male,2021-06-30,78,false
Edmonton Zoo,Lycosa godeffroyi,Wolf spider,Kizzee,Female,2023-06-30,52,true
Edmonton Zoo,Agkistrodon piscivorus,"Moccasin, water",Burtie,Male,2023-10-07,67,false
Washington Zoo,Trichosurus vulpecula,"Possum, golden brush-tailed",Karoline,Female,2021-09-11,44,true
Edmonton Zoo,Phasianus colchicus,Ring-necked pheasant,Brett,Male,2023-12-28,55,false
Toronto Zoo,Odocoileus hemionus,"Deer, black-tailed",Darrell,Male,2022-10-19,48,true
Vancouver Zoo,Anitibyx armatus,Tawny eagle,Armand,Male,2020-12-28,67,false
Edmonton Zoo,Ardea golieth,"Heron, goliath",Raul,Male,2023-08-25,19,false
Edmonton Zoo,unavailable,Butterfly (unidentified),Bobbette,Female,2022-08-10,67,false
Edmonton Zoo,Struthio camelus,Ostrich,Abby,Male,2023-09-01,24,true
Washington Zoo,Vanellus armatus,Blacksmith plover,Elnora,Female,2020-12-26,39,true
Edmonton Zoo,Coendou prehensilis,"Porcupine, tree",Tasia,Female,2024-01-31,20,false
Washington Zoo,Tachybaptus ruficollis,"Grebe, little",Mel,Female,2023-07-09,53,true
Vancouver Zoo,Gopherus agassizii,Desert tortoise,Dyan,Female,2023-11-26,56,false
Washington Zoo,Tachybaptus ruficollis,Little grebe,Chrisy,Male,2021-10-13,79,true
Edmonton Zoo,Caiman crocodilus,Spectacled caiman,Trudy,Female,2024-02-24,29,true
Toronto Zoo,Semnopithecus entellus,"Langur, hanuman",Karim,Male,2024-02-04,63,true
Edmonton Zoo,Carphophis sp.,Worm snake (unidentified),Alix,Male,2021-07-02,79,true
Edmonton Zoo,unavailable,Hummingbird (unidentified),Kellen,Male,2021-10-04,51,true
Vancouver Zoo,Pseudalopex gymnocercus,Pampa gray fox,Obadiah,Male,2021-11-06,58,true
Washington Zoo,Ninox superciliaris,White-browed owl,Brier,Female,2023-05-08,78,true
Toronto Zoo,Ratufa indica,Indian giant squirrel,Adele,Female,2023-03-02,74,false
Washington Zoo,Grus rubicundus,"Crane, brolga",Hilary,Female,2021-03-18,51,false
Toronto Zoo,Dendrocitta vagabunda,Rufous tree pie,Imelda,Female,2022-11-14,61,true
Vancouver Zoo,Carduelis uropygialis,"Siskin, yellow-rumped",Kellie,Female,2021-02-19,67,false
Vancouver Zoo,Anas punctata,Hottentot teal,Simona,Female,2023-10-13,53,false
Toronto Zoo,Coluber constrictor,"Snake, buttermilk",Ursola,Female,2022-11-01,28,false
Edmonton Zoo,Bassariscus astutus,"Cat, miner's",Elspeth,Female,2023-09-08,48,false
Edmonton Zoo,Eumetopias jubatus,"Lion, steller's sea",Miof mela,Female,2022-06-14,47,false
Toronto Zoo,Hippotragus niger,Sable antelope,Westleigh,Male,2021-06-26,19,false
Vancouver Zoo,Cereopsis novaehollandiae,"Goose, cape barren",Veronike,Female,2021-11-14,71,false
Washington Zoo,Loris tardigratus,Slender loris,Dieter,Male,2023-02-13,68,false
Vancouver Zoo,Ceratotherium simum,White rhinoceros,Clayborn,Male,2021-09-24,57,true
Toronto Zoo,Axis axis,Chital,Farrel,Male,2022-06-25,78,false
Edmonton Zoo,Eubalaena australis,Baleen whale,Tammie,Male,2021-04-02,31,false
Toronto Zoo,Pseudocheirus peregrinus,Ring-tailed possum,Alfredo,Male,2021-08-31,55,true
Washington Zoo,Lutra canadensis,"Otter, canadian river",Dewain,Male,2023-09-29,57,true
Vancouver Zoo,Naja sp.,Cobra (unidentified),Kippy,Female,2021-01-12,18,true
Edmonton Zoo,unavailable,Flying fox (unidentified),Manuel,Male,2021-02-08,36,false
Edmonton Zoo,Bison bison,"Bison, american",Loella,Female,2022-04-05,67,true
Toronto Zoo,Varanus sp.,"Legaan, Monitor (unidentified)",Filmore,Male,2023-12-27,55,false
Edmonton Zoo,Platalea leucordia,"Spoonbill, white",Carlynn,Female,2023-11-10,29,false
Toronto Zoo,Manouria emys,"Tortoise, burmese black mountain",Erastus,Male,2023-04-07,32,false
Toronto Zoo,Dasyurus maculatus,Tiger cat,Xymenes,Male,2022-07-19,44,false
Toronto Zoo,Lasiorhinus latifrons,Southern hairy-nosed wombat,Veronika,Female,2023-10-16,75,true
Edmonton Zoo,Pterocles gutturalis,"Sandgrouse, yellow-throated",Georgette,Female,2021-01-03,62,true
Vancouver Zoo,Anitibyx armatus,Tawny eagle,Gusty,Female,2022-03-29,28,false
Washington Zoo,Centrocercus urophasianus,"Grouse, sage",Maxy,Female,2021-05-29,78,false
Vancouver Zoo,Rhea americana,"Rhea, common",Ario,Male,2021-01-05,42,true
Toronto Zoo,Galago crassicaudataus,"Bushbaby, large-eared",Shanna,Female,2023-08-07,46,false
Washington Zoo,Potorous tridactylus,Potoroo,Shelly,Female,2024-03-01,61,false
Toronto Zoo,Cynomys ludovicianus,Black-tailed prairie dog,Rose,Female,2022-10-11,18,true
Washington Zoo,Ceratotherium simum,"Rhinoceros, white",Anabelle,Female,2023-12-17,53,true
Washington Zoo,Pseudocheirus peregrinus,"Possum, ring-tailed",Leicester,Male,2023-06-12,28,false
Edmonton Zoo,Otaria flavescens,Southern sea lion,Khalil,Male,2023-04-14,28,true
Edmonton Zoo,Neotis denhami,Denham's bustard,Babita,Female,2022-09-04,26,false
Edmonton Zoo,Castor fiber,Eurasian beaver,Obed,Male,2023-01-28,47,false
Vancouver Zoo,Gymnorhina tibicen,Australian magpie,Hall,Male,2022-12-23,52,true
Edmonton Zoo,Centrocercus urophasianus,Greater sage grouse,Evin,Male,2021-08-18,78,true
Vancouver Zoo,Grus canadensis,"Crane, sandhill",Aleda,Female,2022-07-08,74,false
Edmonton Zoo,Corvus albicollis,Cape raven,Kingsly,Male,2021-06-01,60,true
Toronto Zoo,Trichechus inunguis,Manatee,Corny,Male,2021-07-04,33,true
Toronto Zoo,Melanerpes erythrocephalus,Red-headed woodpecker,Hobart,Male,2024-02-09,67,false
Toronto Zoo,Crotalus cerastes,Sidewinder,Julio,Male,2022-07-22,60,false
Washington Zoo,Crotalus adamanteus,"Rattlesnake, eastern diamondback",Norris,Male,2020-12-22,73,false
Washington Zoo,Agouti paca,Paca,Arlina,Female,2021-09-02,49,true
Washington Zoo,Cercatetus concinnus,"Possum, western pygmy",Leanor,Female,2021-12-21,28,true
Vancouver Zoo,Pseudoleistes virescens,"Marshbird, brown and yellow",Errol,Male,2020-12-29,32,true
Vancouver Zoo,Hippotragus niger,Sable antelope,Leighton,Male,2023-04-25,46,false
Washington Zoo,Connochaetus taurinus,Brindled gnu,Madelle,Female,2021-04-03,24,true
Washington Zoo,Hyaena brunnea,Brown hyena,Forester,Male,2021-07-21,69,false
Edmonton Zoo,Canis aureus,Indian jackal,Fairfax,Male,2024-03-18,75,true
Toronto Zoo,Dicrurus adsimilis,Fork-tailed drongo,Craig,Male,2021-09-21,72,true
Toronto Zoo,Ammospermophilus nelsoni,Nelson ground squirrel,Chance,Male,2021-12-01,52,false
Toronto Zoo,Sarkidornis melanotos,"Duck, comb",Bess,Female,2021-03-06,31,false
Washington Zoo,Semnopithecus entellus,Common langur,Helli,Female,2021-10-28,28,false
Washington Zoo,Ramphastos tucanus,"Toucan, red-billed",Aristotle,Male,2020-12-28,41,true
Edmonton Zoo,Speotyte cuniculata,Burrowing owl,Saree,Female,2024-01-10,48,true
Vancouver Zoo,Elephas maximus bengalensis,"Elephant, asian",Horatius,Male,2022-10-20,20,false
Washington Zoo,Dromaeus novaehollandiae,Emu,Marlane,Female,2023-01-18,80,false
Vancouver Zoo,Cacatua tenuirostris,"Corella, long-billed",Tabbitha,Female,2023-05-11,68,true
Toronto Zoo,Acridotheres tristis,"Mynah, indian",Olly,Male,2022-03-06,35,false
Vancouver Zoo,Trichosurus vulpecula,Common brushtail possum,Ferd,Male,2023-02-09,77,true
Toronto Zoo,Thylogale stigmatica,"Pademelon, red-legged",Tomaso,Male,2021-09-16,31,false
Washington Zoo,Acrobates pygmaeus,Feathertail glider,Web,Male,2021-12-20,23,false
Edmonton Zoo,Chlamydosaurus kingii,"Lizard, frilled",Quentin,Female,2022-05-01,34,false
Toronto Zoo,Lorythaixoides concolor,"Bird, bare-faced go away",Cy,Male,2021-11-15,41,false
Toronto Zoo,Ursus americanus,"Bear, american black",Simone,Male,2021-09-12,63,true
Toronto Zoo,Ceratotherium simum,"Rhinoceros, white",Thom,Male,2021-06-30,28,false
Toronto Zoo,Castor canadensis,"Beaver, north american",Barnebas,Male,2024-03-19,38,false
Edmonton Zoo,Taurotagus oryx,"Eland, common",Eartha,Female,2021-07-20,21,false
Toronto Zoo,Nannopterum harrisi,"Cormorant, flightless",Uta,Female,2022-03-31,54,true
Toronto Zoo,Tragelaphus scriptus,Bushbuck,Ahmed,Male,2021-05-17,67,false
Washington Zoo,Bucephala clangula,"Goldeneye, common",Micheil,Male,2023-12-15,62,false
Edmonton Zoo,Gekko gecko,Tokay gecko,Tatiania,Female,2022-07-11,63,false
Vancouver Zoo,Felis silvestris lybica,"Cat, european wild",Hurley,Male,2023-10-30,41,true
Vancouver Zoo,Hystrix cristata,"Porcupine, crested",Milly,Female,2024-03-28,52,false
Edmonton Zoo,Choloepus hoffmani,"Sloth, two-toed",Rodina,Female,2022-09-17,47,false
Edmonton Zoo,Lamprotornis chalybaeus,"Starling, greater blue-eared",Vivianna,Female,2023-09-11,42,false
Vancouver Zoo,Epicrates cenchria maurus,Columbian rainbow boa,Jeanna,Female,2023-10-31,50,true
Washington Zoo,Echimys chrysurus,White-faced tree rat,Wilmer,Male,2021-03-30,64,true
Edmonton Zoo,Ninox superciliaris,"Owl, white-browed",Carlene,Female,2024-03-09,59,true
Washington Zoo,Rhea americana,Common rhea,Ham,Male,2022-12-04,31,true
Washington Zoo,Felis chaus,"Cat, jungle",Keslie,Female,2023-10-17,38,false
Washington Zoo,Sarkidornis melanotos,"Duck, comb",Dexter,Male,2022-06-03,64,false
Toronto Zoo,Hymenolaimus malacorhynchus,Blue duck,Rivalee,Female,2021-08-04,37,true
Edmonton Zoo,Varanus komodensis,"Dragon, komodo",Arabel,Female,2022-08-20,18,false
Toronto Zoo,Choloepus hoffmani,Two-toed sloth,Siegfried,Male,2021-03-21,79,true
Toronto Zoo,unavailable,Ant (unidentified),Ase,Male,2022-11-12,36,false
Vancouver Zoo,Rangifer tarandus,Caribou,Flemming,Male,2021-10-07,50,true
Toronto Zoo,Papio ursinus,Chacma baboon,Bondon,Male,2021-05-23,65,true
Toronto Zoo,Dicrostonyx groenlandicus,Collared lemming,Julio,Male,2022-07-01,73,false
Vancouver Zoo,Crotalus triseriatus,Dusky rattlesnake,Herbert,Male,2022-09-13,47,false
Vancouver Zoo,Chlamydosaurus kingii,Frilled dragon,Alethea,Female,2022-09-30,60,false
Edmonton Zoo,Choloepus hoffmani,"Sloth, hoffman's",Jeffry,Male,2022-04-07,80,false
Vancouver Zoo,Uraeginthus granatina,Common grenadier,Ulrick,Male,2022-03-31,35,true
Vancouver Zoo,Larus novaehollandiae,Silver gull,Jodi,Male,2021-05-03,70,false
Vancouver Zoo,Mycteria leucocephala,"Stork, painted",Nichol,Female,2024-03-25,25,false
Edmonton Zoo,Castor canadensis,American beaver,Tommi,Female,2023-03-06,19,false
Washington Zoo,Melanerpes erythrocephalus,"Woodpecker, red-headed",Juditha,Female,2022-07-12,44,false
Vancouver Zoo,Nyctanassa violacea,"Heron, yellow-crowned night",Leigh,Female,2023-11-07,51,false
Washington Zoo,Ara chloroptera,"Macaw, red and blue",Randolph,Male,2023-02-07,51,true
Edmonton Zoo,Panthera onca,Jaguar,Tracie,Male,2024-01-27,31,false
Edmonton Zoo,Cercopithecus aethiops,"Monkey, vervet",Ann-marie,Female,2021-02-07,58,true
Washington Zoo,Herpestes javanicus,"Mongoose, javan gold-spotted",Griffie,Male,2024-02-29,21,true
Washington Zoo,Boa caninus,Emerald green tree boa,Else,Female,2023-10-04,55,false
Vancouver Zoo,Ateles paniscus,"Monkey, black spider",Pattie,Male,2023-09-20,49,true
Washington Zoo,Estrilda erythronotos,Black-cheeked waxbill,Linea,Female,2023-07-29,19,true
Toronto Zoo,Cochlearius cochlearius,Boat-billed heron,Latrena,Female,2022-03-03,55,true
Edmonton Zoo,Speotyte cuniculata,"Owl, burrowing",Bradney,Male,2022-03-15,38,false
Toronto Zoo,Alligator mississippiensis,"Alligator, mississippi",Sunshine,Female,2021-08-01,25,false
Washington Zoo,Laniaurius atrococcineus,Crimson-breasted shrike,Weylin,Male,2023-09-01,66,true
Vancouver Zoo,Ara ararauna,"Macaw, blue and yellow",Buddy,Male,2021-01-25,44,true
Edmonton Zoo,Hippotragus equinus,"Antelope, roan",Carolina,Female,2023-02-02,77,false
Vancouver Zoo,Uraeginthus granatina,"Waxbill, violet-eared",Patton,Male,2020-12-04,29,false
Vancouver Zoo,Marmota caligata,Hoary marmot,Puff,Male,2024-03-06,42,true
Toronto Zoo,Diceros bicornis,"Rhinoceros, black",Slade,Male,2023-05-18,58,true
Edmonton Zoo,Uraeginthus angolensis,Blue waxbill,Noelle,Female,2023-10-01,63,true
Washington Zoo,Lepus townsendii,"Jackrabbit, white-tailed",Ted,Male,2022-05-26,72,false
Edmonton Zoo,Cracticus nigroagularis,"Bird, pied butcher",Milli,Female,2022-12-07,44,false
Edmonton Zoo,Cacatua tenuirostris,Long-billed cockatoo,Mignon,Female,2021-03-21,36,true
Washington Zoo,Halcyon smyrnesis,White-throated kingfisher,Kali,Female,2023-12-15,72,false
